mESC,pro-B,Myotube,Th-cell,Macrophage
NR_028427,NM_013508,NM_013553,NM_010688,NM_026376
NM_027227,NM_009950,NM_010325,NM_027975,NR_024017
NR_003188,NM_026268,NM_198018,NM_001025103,NM_001013373
,NM_009344,NM_007570,NM_009382,NM_019519
,NM_027468,NM_029657,NM_029116,NM_001109657
,NM_001014390,NM_144854,NM_028139,NM_021384
,NM_028669,NM_023041,NM_138306,NM_029075
,NM_009578,NM_001037127,NM_019639,NM_001030289
,NM_016672,NM_007504,NM_007393,NR_035444
,NM_001190448,NM_027966,NM_001113358,NM_001145920
,NM_001159290,NM_001159634,NM_011659,NM_177260
,NM_009288,NM_175174,NM_172161,NM_007807
,NM_024475,NM_031378,NM_027871,NM_009982
,NM_007897,NM_019743,NR_033514,NM_007508
,NM_029976,NR_033786,NM_008974,NM_008855
,NM_011340,NM_019390,NM_001024617,NM_001099624
,NM_001164570,NM_019835,NM_001166432,NM_001113478
,NM_011408,NM_133771,NM_175291,NR_033595
,NR_029738,NM_025376,NM_028047,NM_019992
,NM_031386,NM_023049,NM_011246,NR_027659
,NR_029555,NM_172805,NM_007705,NR_030695
,NM_054043,NM_001033306,NR_015512,NM_133211
,NM_001038664,NM_054099,NM_019748,NM_001168526
,NM_207231,NM_021544,NM_026240,NM_026405
,NM_001176528,NM_053102,NM_001037744,NM_023118
,NM_024456,NM_133739,NM_001177812,NM_153119
,NM_025654,NM_008011,NM_010238,NM_008404
,NM_025404,NM_009083,NM_016742,NM_008026
,NM_008339,NM_025818,NM_001081636,NM_010657
,NM_011101,NM_001083927,NM_029332,NM_019636
,NM_001113488,NM_177282,NM_001024468,NM_001190356
,NM_001195088,NM_001113386,NM_001033538,NM_172867
,NM_027919,NM_133998,NM_028454,NM_010329
,NM_001112700,NM_028902,NM_011408,NM_009911
,NM_001112699,NM_009932,NM_009296,NM_009183
,NM_007625,NM_001110845,NM_008967,NM_010026
,NM_172443,NM_019417,NM_008359,NM_007509
,NM_001146119,NM_001037937,NM_009021,NM_172666
,NM_011968,NM_025768,NM_027185,NR_024599
,NM_016893,NM_007384,NM_028696,NM_153153
,NM_009014,NM_010160,NM_053095,NM_007961
,NM_145836,NM_027266,NM_011817,NM_011333
,NM_023049,NM_024197,NM_015806,NR_003523
,NM_153776,NM_026551,NM_011352,NM_013842
,NM_001009545,NM_011221,NM_183175,NM_008452
,NM_175930,NM_024173,NM_175092,NM_001080944
,NM_175007,NM_021433,NM_010234,NM_001166402
,NM_024270,NM_029580,NM_009794,NM_021878
,NM_178199,NM_011711,NM_001037294,NM_011519
,NM_178201,NM_009320,NM_133897,NM_009915
,NM_178198,NM_028898,NM_001081150,NM_134133
,NR_015492,NM_001081412,NM_172371,NM_009177
